;region_id;month;gdp_region;fpm;idhm;pop;unemployment;itbi;treasure;iptu
78858;2111201;179;1610892000.0;63488915.38;;;10.9;;29301085.36;2427316.59
87748;2111201;191;;66669516.98;;;13.3;;31365804.45;2842245.54
94292;2111201;203;;12851585.49;;176008.0;17.2;;30666418.18;2227089.12
4299;2111300;11;;64394959.18;0.6579999999999999;869217.0;;1822395.34;369380754.73;13215126.31
9464;2111300;23;;75800959.88;;;;1888599.01;435312768.64;14374735.55
13465;2111300;35;5744808000.0;93771468.38;;;;2100164.96;549345145.3999999;17080646.85
20976;2111300;47;6763404000.0;97472466.82;;;;2581874.74;583578621.67;19178184.99
24922;2111300;59;7902078000.0;107454296.23;;;;3385226.38;722035349.1;19970564.13
28406;2111300;71;9276732000.0;138159255.25;;;;3922750.08;842687703.0199999;21591243.23
35025;2111300;83;11487645000.0;151752348.85;;;;4392834.17;937643261.8;23738819.76
41287;2111300;95;11395641000.0;177031133.28;;;;6933962.46;1069534355.0;24150876.17
49084;2111300;107;13932770000.0;218832204.88;;;;8857999.11;1334773294.0;27258336.42
54825;2111300;119;14775476000.0;204119954.38;;;;9413610.8;1485729401.42;33603874.31
59811;2111300;131;18211488000.0;223584590.61;0.768;1014837.0;;14070963.82;1548867671.3;39655111.75
64383;2111300;143;19952970000.0;278142658.34;;;;15081092.78;1938914910.71;31125066.48
96597;2111300;146;;;;;13.1;;;
96598;2111300;149;;;;;15.4;;;
96599;2111300;152;;;;;14.3;;;
70566;2111300;155;22677841000.0;287535951.44;;;12.5;18485358.16;2022287464.55;38762074.66
96600;2111300;158;;;;;14.1;;;
96601;2111300;161;;;;;14.6;;;
96602;2111300;164;;;;;10.6;;;
74869;2111300;167;23134440000.0;307981932.44;;;6.8;;512825662.3;43887467.46
96603;2111300;170;;;;;8.3;;;
96604;2111300;173;;;;;8.6;;;
96605;2111300;176;;;;;9.1;;;
78865;2111300;179;26326087000.0;340686983.33;;;10.9;;532491940.9;45739646.81
96606;2111300;182;;;;;13.7;;;
96607;2111300;185;;;;;14.2;;;
96608;2111300;188;;;;;14.7;;;
87805;2111300;191;;361058799.99;;;13.3;;613938811.0;67740361.14
96609;2111300;194;;;;;16.4;;;
96610;2111300;197;;;;;16.4;;;
96611;2111300;200;;;;;15.8;;;
94313;2111300;203;;70081582.52;;1082935.0;17.2;;619509393.1;71728370.16
96612;2111300;206;;;;;19.3;;;
4291;2112209;11;;6081991.72;0.479;129692.0;;14024.64;28482423.38;31649.44
9390;2112209;23;;7197368.37;;;;15261.91;31234198.37;82050.74
13396;2112209;35;277572000.0;9069228.97;;;;30107.2;44337059.3;79797.6
20957;2112209;47;335667000.0;9629302.15;;;;11101.0;45277951.0;71635.0
24880;2112209;59;392291000.0;10736240.9;;;;17848.3;57636901.6;41206.2
28287;2112209;71;473843000.0;13476929.87;;;;27711.0;69126773.0;108576.0
35000;2112209;83;520364000.0;33179745.87;;;;37433.43;99755023.56;195019.78
41381;2112209;95;561401000.0;37222748.76;;;;52429.13;119095482.2;496317.04
49063;2112209;107;644466000.0;45316575.79;;;;122964.8;148434415.61;444308.57
54908;2112209;119;791427000.0;41520586.19;;;;148985.88;192469981.39;538720.24
59820;2112209;131;977153000.0;44239910.87;0.649;155460.0;;219404.27;174335392.15;399228.11
64341;2112209;143;989297000.0;52699885.64;;;;352551.26;210584440.1;719277.63
70527;2112209;155;1069980000.0;55518665.6;;;12.5;692850.36;232780520.87;553602.75
74905;2112209;167;1249941000.0;59386894.87;;;6.8;;9175057.98;658760.22
78818;2112209;179;1440381000.0;63488915.38;;;10.9;;12610245.43;1040265.94
87781;2112209;191;;66669516.98;;;13.3;;14559757.78;1354124.58
94335;2112209;203;;12851585.49;;166295.0;17.2;;16037648.85;1393710.09
4001;2203305;11;;1299361.7;0.455;12489.0;;1801.1;1977863.61;6056.08
6171;2203305;23;;1528260.14;;;;2473.38;2251221.39;5698.37
16487;2203305;35;14000000.0;1879502.06;;;;3087.66;2645318.85;1708.7
21829;2203305;47;17668000.0;1912649.45;;;;2872.7;4398716.11;1403.05
22732;2203305;59;20331000.0;2061346.51;;;;;;
30073;2203305;71;22963000.0;2514023.3;;;;2678.16;6311244.24;2818.09
