acp;model_consumption;model_firm;model_fpm;model_gdp_region;model_labor;model_prop_consumption_gdp;model_prop_consumption_total;model_prop_firm_gdp;model_prop_firm_total;model_prop_fpm_gdp;model_prop_fpm_total;model_prop_labor_gdp;model_prop_labor_total;model_prop_property_gdp;model_prop_property_total;model_prop_transaction_gdp;model_prop_transaction_gdpreal_prop_fpm_gdp;model_prop_transaction_total;model_prop_treasure_gdp;model_property;model_transaction;model_treasure;real_fpm;real_gdp_region;real_prop_fpm_gdp;real_prop_fpm_total;real_prop_property_gdp;real_prop_property_total;real_prop_transaction_gdp;real_prop_transaction_total;real_prop_treasure_gdp;real_property;real_transaction;real_treasure
PETROLINA - JUAZEIRO;113.34977461273485;50.88424974582463;19.814102083507308;3111.1731012526093;33.43106693319416;0.03005385701222708;0.5206925833176279;0.013697680663651712;0.2646232142310637;0.005640961047858673;0.10488850413993528;0.008873086370867488;0.1552896944919306;0.0009200503371978717;0.048858812929062;0.00017128769973976597;;0.010535833958321562;0.053715961539461;2.093484590292276;0.3350685146137787;200.0936443475992;36694203.54147059;2166048884.6153846;0.02094860333894383;0.4097474365844056;0.0008688079297417072;0.02601577883703908;0.0006323122004630111;0.00570647114452528;0.0983428367888022;2324220.621818182;1253822.324;153414834.54545453
PORTO ALEGRE;140.59620470917014;65.78811428599849;26.08197037741569;4502.704753505116;45.19900674232664;0.024460796618744028;0.4716567050929265;0.012219633732479269;0.2597047303394736;0.016852212685718376;0.32476665761746026;0.007863777541405487;0.15171726515562786;0.00260178771307043;0.09865433967853793;0.0004557925806514031;;0.0182670174420979;0.04760179981770291;3.337219560723759;0.4610279821902236;255.3815732531262;26728773.231616165;5984104636.363636;0.00991649653866093;0.28236946004547137;0.0021288076365319733;0.06357557935703044;0.0010607603259347813;0.013871783621956684;0.06686234089138422;25527287.01205405;11140702.786830984;323713411.05172974
RECIFE;148.98357845675795;63.78323792043763;25.68305413642453;4174.0006993897;45.50635716723727;0.03779747037665688;0.489914429576989;0.019316052964463502;0.25322910378998703;0.04243220717485687;0.3981024331095404;0.011550018652001906;0.15006470956034285;0.008928782395075063;0.08786603716504837;0.0023334939637020555;;0.018926062629558014;0.0799252772418618;2.8908672295325992;0.4228696864394165;261.5869104651682;37211125.2338914;3491189395.6043954;0.026758453223595803;0.6176860641849227;0.002554361001357243;0.0695523506709668;0.000597687709277929;0.0058628557619271;0.10340705534839499;17117943.975064933;3165255.797100592;211772686.91655168
RIBEIRAO PRETO;78.54878061783106;39.9359621483316;15.307667773461938;2691.985435088635;25.20305868925965;0.022835785887836614;0.4631263564868157;0.012596279978274592;0.2784322688536224;0.017792394937339466;0.3447986575170923;0.0073216560002251066;0.14837843216896426;0.0025833691231365754;0.09401122591343936;0.00042411954771023067;;0.016051771823582955;0.04576121499669253;2.2877290391032323;0.3042727484358707;146.2798032116788;16318628.650138887;4783455519.230769;0.01368299244690896;0.3196004721488328;0.004158909968967089;0.10671871484335094;0.0009680783235654316;0.01090260897727181;0.0920030176441068;30933664.80955224;6311054.3586274525;257363206.601194
RIO DE JANEIRO;363.6825179621627;155.49505183943847;63.90153188643343;10847.072314542664;116.42637706679096;0.025619824160922948;0.4850170526198132;0.011686094358281076;0.2488990737168608;0.035535269987111144;0.6723431777345579;0.008193849453132448;0.1550618110683774;0.00256829113098486;0.09129121282187076;0.0005322165299146657;;0.0197310073102722;0.04860026855094515;7.585207137804343;1.0713097690282956;644.2604637754989;23708134.76374613;13736290469.635628;0.009655841007923898;0.2014222062954276;0.004076353036085689;0.08786719570373804;0.0009257203028340313;0.010880486484389964;0.08302590128817816;92066601.52058823;20604063.385791667;752216913.0480782
SALVADOR;174.60777979963996;75.32036787068964;30.542360578249337;5086.341890773021;54.647132521409645;;0.4939605462524077;;0.2550232689524491;;0.4336650197897853;;0.15453855758650664;;0.07788789533728355;;;0.018589892347978712;;3.4076378513641528;0.495229494789693;308.478147563471;41678034.9327647;5249809559.440559;0.016661205881797536;0.2539313057831705;0.0033489404911194675;0.06421499929262375;0.0010343047647209463;0.010721806906388772;0.10348859107461447;25232871.75320652;7723539.237304965;297792029.80516297
SANTOS;99.75971630797292;46.24780207425742;18.40044655706097;3189.863156331423;32.051972229546635;0.02333807989988289;0.4835714423320971;0.011464059055470979;0.2658231201331352;0.00956737500985113;0.2088060073096916;0.007496578881612655;0.15536137670904904;0.0017328369803574892;0.08104361163000487;0.00028921349134491557;;0.014200186500743303;0.044320769165692886;2.3999597135226685;0.3261056809536217;180.785556044815;20975120.894375;3925879144.2307687;0.011654307691023715;0.08755886846465763;0.037199584724429455;0.2780523271456783;0.004845989241498115;0.025437294614474342;0.1530848222719305;86900497.21933824;8704273.981346153;367725521.45463234
SAO JOSE DO RIO PRETO;42.65443163010843;21.21423547456213;8.209241467055879;1458.7166601334445;13.718709301292744;0.026849847595809048;0.4728171309637518;0.014811977321475881;0.2811971448424516;0.019819636206217583;0.33261040730629404;0.008617679670476367;0.1514885494684596;0.002524904700388767;0.08118144324182426;0.0003960228946144546;;0.013317649807833223;0.05320042389586442;1.2573536125938285;0.16383332422852376;79.0085633110926;10999940.014444444;1983640615.384616;0.01970124815851159;0.4048004518037977;0.005074580580537447;0.120710329147119;0.0013451674515608807;0.014086009498106691;0.08928926593826908;15946530.18164706;2504930.897076923;115878539.80094115
SAO JOSE DOS CAMPOS;121.97932463081999;54.03041536535788;21.801116455872137;3709.126075573314;38.7402990628909;0.02508111044948796;0.5003022619945425;0.011650308665787631;0.2648030844938727;0.007977711697397511;0.16820460575045962;0.007955802736143314;0.1585192491779336;0.0012519403569140196;0.06448982679255537;0.0002099510377384351;;0.011885904230315977;0.04614911083392957;2.7629688267894377;0.3701924082696316;217.88320027275887;22355427.533240747;7441147538.461537;0.0081478476703063;0.1851936991582068;0.004898010893304152;0.1161183434169108;0.0010174627030454133;0.013744524194743145;0.06251032261329585;27034155.61039604;5589933.064358975;312718697.2067327
SAO LUIS;166.0224698055266;71.98667683941605;28.262711164233576;4363.83030995829;48.28018512904067;0.0371154796212531;0.3733693989134775;0.016320253646718047;0.1793564172866003;;3.1649751592372004;0.010802328730002048;0.10971004496491454;;0.27058337945186184;;;0.06697904735256016;;3.190345661887384;0.4728082281021898;289.95248568039625;60273127.07294118;3969257038.4615374;0.04736846197809575;0.7959034329507535;0.001590742898808974;0.02953329904908792;0.0008251997205897201;0.0054358124158964535;0.13604230686875907;9051525.746615384;2241814.3968;271433850.03
SAO PAULO;232.25701399738446;103.07598468416971;41.691797780344;7141.764451414132;74.33592203012236;;0.4801637173069317;;0.257705935242482;;0.7450160889908795;;0.15354269246427893;;0.08963842284432612;;;0.0189491072530948;;5.291456852624346;0.7139111074120046;415.6742886661051;20259521.22433575;13336916944.35352;0.01176887064540575;0.2581175503390947;0.00598541048620283;0.1343345556558738;0.0008833010103376704;0.011376344994956471;0.07300042855618802;107240934.25142492;15701375.60111481;652898052.0922734
